,Unnamed: 0,M_ki,M_kf,delta_k_t,ki_t,xi,zeta
0,0,0.2903655407963306,0.0098999999460015,1.0020180155403615,0.3053151330596896,0.168353600857662,0.5105653069816833
1,1,0.4401442978370095,0.0098999999457958,1.300559936428146,0.4169234870494911,0.211272417374828,0.3355302860927343
2,2,0.3198446045437339,0.0098999999466412,0.1828391313891615,0.1156100012803007,0.1433226821256564,0.528316117184474
3,3,0.9006603390286487,0.0055999997999846,0.2216842365702196,0.8305080992019443,0.2497488476358798,0.3889701445362039
4,4,0.2499411019900296,0.0055999997998659,0.9627647060697316,0.1115356337398269,0.1609249142014936,0.4300026483056783
5,5,0.8960875272305603,0.0055999998005199,0.6692919726892748,0.6047654905100721,0.1941152197881951,0.5671008481030247
6,6,0.5581690522461461,0.0055999998006461,0.9061728467821174,0.3874281385864137,0.0859054144215838,0.4303035106217957
7,7,0.5581690522461461,0.0055999998006461,2.144412514522729,0.3874281385864137,0.0859054144215838,0.2411691003311425
8,8,0.7481076019019984,0.005599999802542,0.4874412967866563,0.668454014407547,0.3496131557668157,0.4985824009333796
9,9,0.9439173343632276,0.0055999997998693,0.9813594214844116,0.6725034328973301,0.3035638044710404,0.4127189431334966
10,10,0.7010125251012997,0.0055999998002894,0.5234774315190963,0.6918848867720704,0.1541954321170258,0.4910595548266652
11,11,0.7010125251012997,0.0055999998002894,1.9745594261034736,0.6918848867720704,0.1541954321170258,0.2106980403955372
12,12,0.1053561596633071,0.0055999997994533,1.0494883185014732,0.2863493105929869,0.1967123280709242,0.3148452052471052
13,13,0.4557487800731069,0.0055999998000626,0.6708249548999236,0.2012038093853834,0.4822284290776539,0.3326831713588201
14,14,0.8235658152528117,0.0055999998009387,2.2462831889544765,0.785618335299896,0.1981804959289398,0.2492410559058362
15,15,0.548096903423037,0.0055999997999214,1.4004333035341912,0.4635845702051835,0.2915044617197144,0.3147576714605669
16,16,0.9654341906278144,0.0055999998010787,0.4246097471620919,0.8422594820604895,0.2554894108504945,0.384749978306671
17,17,0.9002677447846105,0.0055999997996958,2.4891682763395737,0.8140610383869874,0.2857027468897752,0.2980446601804937
18,18,0.9650914979996372,0.0055999997996773,3.072793018833661,0.8300076923416569,0.3493077271853709,0.1894285949903523
19,19,0.9650914979996372,0.0055999997996773,0.5372765947784867,0.8300076923416569,0.3493077271853709,0.2629448761547542
20,20,0.5233283240212403,0.0098999999461802,1.2671907719594306,0.4717509715199742,0.2481021312111564,0.3691611699961068
21,21,0.8976660818318547,0.0055999998003613,1.1915059100857182,0.8133108325162984,0.2829039881488156,0.2460816184693834
22,22,0.9846344585240552,0.0055999998007528,0.7522119754683596,0.7377469802730041,0.2315373225486206,0.37465321995754
23,23,0.9846344585240552,0.0055999998007528,0.4249862153601616,0.7377469802730041,0.2315373225486206,0.4089967094186424
24,24,0.6988069536887315,0.0055999998005025,0.6385262324479344,0.5671810365599548,0.3348038780454589,0.477657067340016
25,25,0.6850013308124661,0.005599999800268,0.7618929068406413,0.1519215319440182,0.1790466278504697,0.4923471660923363
26,26,0.1519552439609784,0.0055999998004455,0.7821178460962087,0.272299860145294,0.1619046238956413,0.3067508765188969
27,27,0.2236097565183616,0.0055999998010923,0.7887328596831648,0.3293159672037933,0.1942836249846878,0.4559641327751301
28,28,0.5765445531155927,0.0055999998002423,1.4938856330729766,0.5793039849746757,0.2252675049273661,0.3554001673244505
29,29,0.5765445531155927,0.0055999998002423,0.1211898512726413,0.5793039849746757,0.2252675049273661,0.2457232609685819
30,30,0.7874710261474249,0.0055999997999561,0.2542060735480137,0.173511274403233,0.1549668143603334,0.6676934462236161
31,31,0.457498532332576,0.0055999998000279,1.146644078120217,0.4577181015309509,0.3804459200891551,0.3441982492309057
32,32,1.1194286107189495,0.005599999800282,0.759401519905196,0.657395641913459,0.3385876406871699,0.4587831581547808
33,33,1.0761589185701608,0.0055999997995013,0.5970796994286788,0.9503022138593984,0.2927269239226555,0.3651697108572201
34,34,0.8789717288074916,0.0055999997996921,0.6309615704605173,0.6737682721619798,0.3854735988126837,0.2057794522619428
35,35,0.3620504042166346,0.0055999997998693,1.045987698172811,0.3349643805097917,0.258217328447,0.4521962123469819
36,36,0.7488225673628182,0.0098999999465289,0.1969508954291842,0.6931542936726707,0.1836772325140623,0.2641261837618039
37,37,0.6221915023647205,0.0055999998000094,1.2146023403035269,0.5734144602339174,0.3619433238871867,0.3318879650986767
38,38,0.297955805785837,0.0055999997995472,0.4708957024963982,0.1228196030344117,0.2526266952593431,0.2231842552449312
39,39,0.8377593653711948,0.0055999997996361,1.3207418896350631,0.5579655858073568,0.1437052938783939,0.393523143102838
40,40,0.9695537751202268,0.0055999998003613,0.3077514830371951,0.8723047068986595,0.2127802160023431,0.3857346071893944
41,41,0.588217323881421,0.0098999999450724,0.8890230120809879,0.5653339585241615,0.1421424248510612,0.1570891333428114
42,42,0.588217323881421,0.0098999999450724,3.6730746568826462,0.5653339585241615,0.1421424248510612,0.1801986652346348
43,43,0.4828446097867388,0.0055999998022397,0.8222362186805989,0.5103455356818468,0.1941923358874596,0.4489562945428749
44,44,0.2456283705312494,0.005599999800224,0.840608990257647,0.2086282502749015,0.3322509097936971,0.5886955162777608
45,45,0.2935633643596784,0.0055999998001591,0.9593406140792944,0.1575440648124485,0.3099637109277939,0.4095172460362486
46,46,0.7408059896393591,0.0055999997998111,0.294294335530413,0.7286965759344981,0.1400078525590934,0.3690772521291488
47,47,0.7408059896393591,0.0055999997998111,0.5795826684458885,0.7286965759344981,0.1400078525590934,0.2224200983715036
