,Unnamed: 0,M_ki,M_kf,delta_k_t,ki_t,xi,zeta,theta_ki,theta_H,theta_deltak
0,0,0.2903655407963306,0.0098999999460015,1.0020180155403615,0.3053151330596896,0.168353600857662,0.5105653069816833,-1.0737523225841965,-1.6331975808003956,-1.4707750479396895
1,1,0.4401442978370095,0.0098999999457958,1.300559936428146,0.4169234870494911,0.211272417374828,0.3355302860927343,-0.5931299215321574,2.2480066560498897,2.1529884856531334
2,2,0.3198446045437339,0.0098999999466412,0.1828391313891615,0.1156100012803007,0.1433226821256564,0.528316117184474,-0.3665423909067313,-3.015220325196118,-2.711362289740007
3,3,0.9006603390286487,0.0055999997999846,0.2216842365702196,0.8305080992019443,0.2497488476358798,0.3889701445362039,-2.648402246991683,0.4535028184112106,-2.538892118046177
4,4,0.2499411019900296,0.0055999997998659,0.9627647060697316,0.1115356337398269,0.1609249142014936,0.4300026483056783,1.870240714260576,-1.7103840540956452,-1.7596473018794716
5,5,0.8960875272305603,0.0055999998005199,0.6692919726892748,0.6047654905100721,0.1941152197881951,0.5671008481030247,2.6732208236583728,-0.2274245850370624,-0.0101009437815898
6,6,0.5581690522461461,0.0055999998006461,0.9061728467821174,0.3874281385864137,0.0859054144215838,0.4303035106217957,1.8438437189860115,-1.5705879171027497,-1.6860529062643312
7,7,0.5581690522461461,0.0055999998006461,2.144412514522729,0.3874281385864137,0.0859054144215838,0.2411691003311425,1.8438437189860115,0.742987484413419,0.9047757248854074
8,8,0.7481076019019984,0.005599999802542,0.4874412967866563,0.668454014407547,0.3496131557668157,0.4985824009333796,0.4710325893622172,2.79800051677072,1.1581330534525238
9,9,0.9439173343632276,0.0055999997998693,0.9813594214844116,0.6725034328973301,0.3035638044710404,0.4127189431334966,-1.4279241458514436,0.7775912403842318,0.1930562756524081
10,10,0.7010125251012997,0.0055999998002894,0.5234774315190963,0.6918848867720704,0.1541954321170258,0.4910595548266652,1.0109345671349157,-2.8598428190832856,2.346206261065528
11,11,0.7010125251012997,0.0055999998002894,1.9745594261034736,0.6918848867720704,0.1541954321170258,0.2106980403955372,1.0109345671349157,0.304947088357782,0.5342864458351002
12,12,0.1053561596633071,0.0055999997994533,1.0494883185014732,0.2863493105929869,0.1967123280709242,0.3148452052471052,-1.083669261242915,-1.0742419943770225,-1.076814156745618
13,13,0.4557487800731069,0.0055999998000626,0.6708249548999236,0.2012038093853834,0.4822284290776539,0.3326831713588201,1.287865785517722,1.199679196729719,1.2260982347055287
14,14,0.8235658152528117,0.0055999998009387,2.2462831889544765,0.785618335299896,0.1981804959289398,0.2492410559058362,1.1685925588869035,-1.161603662749729,-0.9051521248759938
15,15,0.548096903423037,0.0055999997999214,1.4004333035341912,0.4635845702051835,0.2915044617197144,0.3147576714605669,-1.1809025884308344,-3.091497668287318,-2.7740932307957142
16,16,0.9654341906278144,0.0055999998010787,0.4246097471620919,0.8422594820604895,0.2554894108504945,0.384749978306671,-1.3552637168286898,1.6292121405708513,-1.1967903557447872
17,17,0.9002677447846105,0.0055999997996958,2.4891682763395737,0.8140610383869874,0.2857027468897752,0.2980446601804937,-1.5420774643252155,0.0456255247621944,-0.287496111928316
18,18,0.9650914979996372,0.0055999997996773,3.072793018833661,0.8300076923416569,0.3493077271853709,0.1894285949903523,2.429561642677113,2.7469702088581616,2.66256559398718
19,19,0.9650914979996372,0.0055999997996773,0.5372765947784867,0.8300076923416569,0.3493077271853709,0.2629448761547542,2.429561642677113,-0.0427918425322838,1.2385648436140853
20,20,0.5233283240212403,0.0098999999461802,1.2671907719594306,0.4717509715199742,0.2481021312111564,0.3691611699961068,1.253055872932976,-1.0591799369253316,-0.7810518649684096
21,21,0.8976660818318547,0.0055999998003613,1.1915059100857182,0.8133108325162984,0.2829039881488156,0.2460816184693834,3.1161084962795416,-2.2442605495308268,-2.819734778012298
22,22,0.9846344585240552,0.0055999998007528,0.7522119754683596,0.7377469802730041,0.2315373225486206,0.37465321995754,0.6311207938714262,2.822636137940265,1.898969364898431
23,23,0.9846344585240552,0.0055999998007528,0.4249862153601616,0.7377469802730041,0.2315373225486206,0.4089967094186424,0.6311207938714262,-2.37246955878141,0.5279902227985527
24,24,0.6988069536887315,0.0055999998005025,0.6385262324479344,0.5671810365599548,0.3348038780454589,0.477657067340016,-0.6928783604226482,-2.506123771910088,-1.4663560064802126
25,25,0.6850013308124661,0.005599999800268,0.7618929068406413,0.1519215319440182,0.1790466278504697,0.4923471660923363,-0.2143476933087955,-2.9067967686636047,-2.8201098644970624
26,26,0.1519552439609784,0.0055999998004455,0.7821178460962087,0.272299860145294,0.1619046238956413,0.3067508765188969,0.5992583974472177,2.4319404917702863,2.088969934207741
27,27,0.2236097565183616,0.0055999998010923,0.7887328596831648,0.3293159672037933,0.1942836249846878,0.4559641327751301,-1.7776970487370651,2.8079618797811223,-3.0481850049181256
28,28,0.5765445531155927,0.0055999998002423,1.4938856330729766,0.5793039849746757,0.2252675049273661,0.3554001673244505,2.7849076451637846,0.0266191631736225,0.1721583101784361
29,29,0.5765445531155927,0.0055999998002423,0.1211898512726413,0.5793039849746757,0.2252675049273661,0.2457232609685819,2.7849076451637846,-0.3346414066350963,-0.2290825978962896
30,30,0.7874710261474249,0.0055999997999561,0.2542060735480137,0.173511274403233,0.1549668143603334,0.6676934462236161,2.8811605064957524,-0.520919220762212,-0.6976320457447677
31,31,0.457498532332576,0.0055999998000279,1.146644078120217,0.4577181015309509,0.3804459200891551,0.3441982492309057,1.7961868320896008,0.6904179689712697,1.0552488768445587
