,Unnamed: 0,M_ki,M_kf,delta_k_t,ki_t,xi,zeta,theta_ki,theta_H,theta_deltak,M,M_h,x,z,Q,T_t
0,0,0.2903655407963306,0.0098999999460015,1.0020180155403615,0.3053151330596896,0.168353600857662,0.5105653069816833,-1.0737523225841965,-1.6331975808003956,-1.4707750479396895,0.9383000135421752,0.1395999938249588,0.1632089656034723,0.5194951775358012,1.4789999723434448,0.7272202797746149
1,1,0.4401442978370095,0.0098999999457958,1.300559936428146,0.4169234870494911,0.211272417374828,0.3355302860927343,-0.5931299215321574,2.2480066560498897,2.1529884856531334,0.9383000135421752,0.1395999938249588,0.1995679216954794,0.3441229253886866,1.5375000238418568,1.7063130839495693
2,2,0.3198446045437339,0.0098999999466412,0.1828391313891615,0.1156100012803007,0.1433226821256564,0.528316117184474,-0.3665423909067313,-3.015220325196118,-2.711362289740007,0.9383000135421752,0.1395999938249588,0.1435928119870505,0.5108819640380614,1.4543999433517447,0.2883541964617492
3,3,0.9006603390286487,0.0055999997999846,0.2216842365702196,0.8305080992019443,0.2497488476358798,0.3889701445362039,-2.648402246991683,0.4535028184112106,-2.538892118046177,0.9383000135421752,0.1395999938249588,0.1699692952033906,0.3761561826930802,1.2151999473571762,0.6461966198288053
4,4,0.2499411019900296,0.0055999997998659,0.9627647060697316,0.1115356337398269,0.1609249142014936,0.4300026483056783,1.870240714260576,-1.7103840540956452,-1.7596473018794716,0.9383000135421752,0.1395999938249588,0.1619291907776656,0.4582457268319366,1.3158999681472765,1.0187831800042784
5,5,0.8960875272305603,0.0055999998005199,0.6692919726892748,0.6047654905100721,0.1941152197881951,0.5671008481030247,2.6732208236583728,-0.2274245850370624,-0.0101009437815898,0.9383000135421752,0.1395999938249588,0.1655109706648212,0.4875086580728822,1.5325000286102346,1.472174433431896
6,6,0.5581690522461461,0.0055999998006461,0.9061728467821174,0.3874281385864137,0.0859054144215838,0.4303035106217957,1.8438437189860115,-1.5705879171027497,-1.6860529062643312,0.9383000135421752,0.1395999938249588,0.0754356535381085,0.3836879637306817,1.0893000364303544,1.4451821868698047
7,7,0.5581690522461461,0.0055999998006461,2.144412514522729,0.3874281385864137,0.0859054144215838,0.2411691003311425,1.8438437189860115,0.742987484413419,0.9047757248854074,0.9383000135421752,0.1395999938249588,0.0754356535381085,0.21734738213628,1.0893000364303544,2.203089115760638
8,8,0.7481076019019984,0.005599999802542,0.4874412967866563,0.668454014407547,0.3496131557668157,0.4985824009333796,0.4710325893622172,2.79800051677072,1.1581330534525238,0.9383000135421752,0.1395999938249588,0.3269799967415209,0.4977779887718898,2.2709999084472665,0.4337309013998272
9,9,0.9439173343632276,0.0055999997998693,0.9813594214844116,0.6725034328973301,0.3035638044710404,0.4127189431334966,-1.4279241458514436,0.7775912403842318,0.1930562756524081,0.9383000135421752,0.1395999938249588,0.2751958018814509,0.3824130392253644,2.035200119018562,1.344242819062335
10,10,0.7010125251012997,0.0055999998002894,0.5234774315190963,0.6918848867720704,0.1541954321170258,0.4910595548266652,1.0109345671349157,-2.8598428190832856,2.346206261065528,0.9383000135421752,0.1395999938249588,0.1158324462514822,0.4937554632675716,1.18659996986389,0.7691759918784679
11,11,0.7010125251012997,0.0055999998002894,1.9745594261034736,0.6918848867720704,0.1541954321170258,0.2106980403955372,1.0109345671349157,0.304947088357782,0.5342864458351002,0.9383000135421752,0.1395999938249588,0.1158324462514822,0.2140159974295996,1.18659996986389,1.4058113963203136
12,12,0.1053561596633071,0.0055999997994533,1.0494883185014732,0.2863493105929869,0.1967123280709242,0.3148452052471052,-1.083669261242915,-1.0742419943770225,-1.076814156745618,0.9383000135421752,0.1395999938249588,0.1906097663124795,0.3403039935359984,1.19879996776581,0.7290428098064432
